Abbreviation,Johnson l0 (mm),Johnson TSL (mm),Eng Lf/Lm,TSL from Eng (mm),Walk TSL (mm)
AB,22.8,0.0,0.75,6.346831028220578,3.2111846637519856
AL,16.6,4.5,0.66,5.971756988598821,1.6905848638370744
AM,28.4,0.0,0.74,8.692571706020829,4.191460680430438
BFa,39.7,0.0,,,5.006201872286619
BFp,37.6,0.0,,,2.901036710495665
CF,37.9,0.0,0.56,18.507085099911908,4.067848795662782
EDL,13.7,9.0,0.48,28.334563540926236,38.85169294392665
EHL,12.1,13.6,,,
FDL,9.0,8.7,0.3,40.174822349968146,45.10255188364701
FHL,10.8,9.7,0.51,26.851787871886817,40.68460953471032
GA,30.3,0.0,0.76,8.113187143130538,2.4991637034609036
GI,4.2,0.0,,,7.923677978211514
GMa,19.6,4.8,,,1.0639400704924826
GMe,19.9,0.0,0.67,8.209309956343334,4.6784032790863685
GMi,11.8,0.0,,,9.959192617534281
GP,29.3,0.9,0.84,5.62018751965907,3.4543763590308094
GS,6.1,0.0,,,9.804253192837662
IP,23.8,4.1,0.42,11.012303989435138,1.816698149033781
IP?,22.3,,,,
LG,12.5,9.4,0.46,24.790861385101838,30.21432531024212
MG,14.6,9.1,0.45,25.795453255457566,29.56772837446971
OE,6.0,0.0,,,3.2043648568003564
OI,4.5,2.8,,,7.434952383308963
Pec,10.9,0.0,,,11.783465467139857
Per,7.6,12.7,,,37.0351141291505
PerB,8.6,10.3,,,
PerQa,8.8,9.1,,,
PerQi,8.6,19.6,,,
Pir,10.8,0.0,,,2.328720361317194
Pla,12.5,6.7,0.34,30.045397980965753,30.023736345723258
Pop,6.5,0.0,,,10.958822869921313
QF,11.0,0.0,,,2.6933410200656653
RF,12.2,6.6,0.36,24.25184783100938,24.774211814451498
SM,35.7,0.0,0.72,11.256716246844055,3.172411618396257
STa,34.1,0.0,,,8.967454174381851
STp,43.6,0.0,,,5.185431960195937
Sol,16.0,9.5,0.69,12.335234541842098,21.161853682912604
TA,15.2,11.9,0.57,16.182691405652008,21.357082862748147
TFL,20.6,0.0,,,1.8890821307823091
TP,5.4,12.4,0.23,34.0323766390843,36.08251708125143
VI,11.6,6.6,0.44,20.328096322385473,23.701355347353523
VL,19.8,6.6,0.57,17.646939076824665,20.041070221085718
VM,15.6,6.6,0.61,15.96299694966931,23.986539799727822
