Abbreviation,Walk TSL (mm)
AB,3.2111846637519856
AL,1.6905848638370744
AM,4.191460680430438
BFa,5.006201872286619
BFp,2.901036710495665
CF,4.067848795662782
EDL,38.85169294392665
FDL,45.10255188364701
FHL,40.68460953471032
GA,2.4991637034609036
GI,7.923677978211514
GMa,1.0639400704924826
GMe,4.6784032790863685
GMi,9.959192617534281
GP,3.4543763590308094
GS,9.804253192837662
IP,1.816698149033781
LG,30.21432531024212
MG,29.56772837446971
OE,3.2043648568003564
OI,7.434952383308963
Pec,11.783465467139857
Per,37.0351141291505
Pir,2.328720361317194
Pla,30.023736345723258
Pop,10.958822869921313
QF,2.6933410200656653
RF,24.774211814451498
SM,3.172411618396257
STa,8.967454174381851
STp,5.185431960195937
Sol,21.161853682912604
TA,21.357082862748147
TFL,1.8890821307823091
TP,36.08251708125143
VI,23.701355347353523
VL,20.041070221085718
VM,23.986539799727822
