Abbreviation,LMT (mm),Lf/Lm,TSL from Eng (mm)
AB,25.38732411288231,0.75,6.346831028220578
AL,17.56399114293771,0.66,5.971756988598821
AM,33.43296810008011,0.74,8.692571706020829
CF,42.06155704525434,0.56,18.507085099911908
EDL,54.48954527101199,0.48,28.334563540926236
FDL,57.39260335709735,0.3,40.174822349968146
FHL,54.799567085483304,0.51,26.851787871886817
GA,33.804946429710576,0.76,8.113187143130538
GMe,24.876696837404047,0.67,8.209309956343334
GP,35.12617199786918,0.84,5.62018751965907
IP,18.986731016267477,0.42,11.012303989435138
LG,45.9090025650034,0.46,24.790861385101838
MG,46.90082410083193,0.45,25.795453255457566
Pla,45.52333027419054,0.34,30.045397980965753
RF,37.89351223595215,0.36,24.25184783100938
SM,40.20255802444305,0.72,11.256716246844055
Sol,39.79107916723257,0.69,12.335234541842098
TA,37.634166059655826,0.57,16.182691405652008
TP,44.19789173907051,0.23,34.0323766390843
VI,36.30017200425977,0.44,20.328096322385473
VL,41.03939320191782,0.57,17.646939076824665
VM,40.93076140940849,0.61,15.96299694966931
